"goodroadv","transport","pro3","tapwater","roadv","rm2c7d","rm2c7e","rm2c7g","animal_s","agrvisit","plant_s","agrext","irrigation","rm2c7c","pro5","pro4","rm2c7b","useschool","kgarten","v_prischool","broadcast","post","vpost","rm2c7a","rm2c7f","market","nonfarm","vmarket1","vmarket2","vmarket3","treatment","id_district","lnarea","lnpopden","city","reg8","rnongnghiep","rcongnghiep","rdichvu","year","tinh","post_treat"
0,1,1,0,1,0,0.216360121965408,0,1,0.04,1,0,0,0,1,0,0.0436195358633995,0,0,1,0,1,1,0,0,0,0,0,0,0,0,"101d15",2.19611287117004,5.43725681304932,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,1,0,0,1,0.0109499040991068,0.164248555898666,0,1,0.02,1,0,1,0.0212356336414814,0,0,0.0212356336414814,0,1,1,1,1,0,0.191623330116272,0,0,1,0,0,0,0,"101d15",2.62103891372681,5.58226537704468,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,1,1,0,1,0,0,0,1,0.1,1,0,1,0.0118479765951633,1,0,0,1,1,1,1,1,1,0,0,1,1,0,1,0,0,"101d15",2.62466859817505,5.46665287017822,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,0,0,0,1,0,0.0383582673966885,0,1,0,1,0,1,0.00192141416482627,0,0,0.00672494946047664,1,1,0,1,1,0,0.0115074794739485,0,0,1,0,0,0,0,"101d15",3.01308083534241,4.85287427902222,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,0,1,0,1,0.00859598815441132,0.119388729333878,0,1,0.07,0,0,1,0.00446743471547961,0,0,0.0029391017742455,1,0,1,1,1,1,0.105062082409859,0.00143266480881721,1,1,1,1,0,0,"101d15",2.14791774749756,5.49891376495361,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,1,1,0,1,0.00857449043542147,0.357270449399948,1,1,0.06,1,0,1,0.0429919026792049,0,0,0.020869854837656,0,1,0,1,1,0,0.400142908096313,0.00714540900662541,1,1,0,0,0,0,"101d15",2.17928695678711,5.75773048400879,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,1,0,0,1,0,0,0.0140718566253781,1,0.03,1,0,0,0.00320381741039455,0,0,0.00272665312513709,0,1,1,1,1,0,0.0335329324007034,0,0,1,1,0,0,0,"101d17",2.13771033287048,5.97601556777954,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,1,0,0,1,0,0,0,1,0.02,1,0,1,0.000941501406487077,0,0,0.00941501371562481,0,1,1,1,1,1,0.0736091285943985,0,1,1,0,0,0,0,"101d17",2.37117791175842,5.79076814651489,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,1,1,0,1,0,0,0,1,0.02,0,0,0,0,1,1,0.00763358781114221,0,1,0,1,1,0,0.0374163053929806,0,1,1,1,0,0,0,"101d17",1.75785791873932,6.08166742324829,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
1,1,1,0,1,0.00324074062518775,0.0268518514931202,0.0379629619419575,1,0.03,1,0,1,0.0028239015955478,0,1,0.00451824255287647,0,1,1,1,1,1,0.0967592597007751,0.0120370369404554,1,1,1,1,0,0,"101d17",1.64865863323212,6.02920484542847,1,1,-0.170194029808044,2.09368443489075,1.76185953617096,2006,101,0
